,project_name,project_github,oso_github_slug,grant_address,oso_address_slug,round_id,round_name,chain_id,program_address,round_date,amount_usd,match_usd,total_usd,oso_slug,dune_deployer_mapping
121,Bankless Academy,bankless-academy,bankless-academy,0xe1887ff140bfa9d3b45d0b2077b7471124acd242,banklessdao,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,Web3 Community and Education,424,0xe13da583181b19dace7c021f57774659edc1f901,2023-11-15 07:00:00,475.64036977,1650.325447144323,2125.965816914323,"banklessdao, bankless-academy",Bankless DAO
128,Hypercerts Foundation,hypercerts-org,hypercerts,0xb6091aab544ef253c23a37295953aafc9d836681,,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,Web3 Community and Education,424,0xe13da583181b19dace7c021f57774659edc1f901,2023-11-15 07:00:00,1947.93525034,,,hypercerts,Hypercerts
129,Hypercerts Foundation,hypercerts-org,hypercerts,0xb6091aab544ef253c23a37295953aafc9d836681,,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-15 07:00:00,35106.70875339,4493.372404642123,39600.08115803212,hypercerts,Hypercerts
347,Geo Web,geo-web-project,geo-web,0xde798cd9c53f4806b9cc7dd27adf7c641540167c,geo-web,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-25 08:00:00,239.99807045,184.6771591149049,424.6752295649049,geo-web,Geo Web
410,Punk Domains | Web3 Social Names Protocol,punk-domains-2,punk-domains,0x12e838f846ffdade34b2e006f84117a370d71687,punk-domains,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-25 08:00:00,2358.51671495,13986.44771066475,16344.96442561475,punk-domains,Punk Domains
411,Punk Domains | Web3 Social Names Protocol,punk-domains-2,punk-domains,0x12e838f846ffdade34b2e006f84117a370d71687,punk-domains,0x1d16f0eedf8ced25f288056ddcbb653d0f0451ad,The Developer tooling on Nova Round,42161,0xce06ebb79f95943ca9125b85ca0294c302e846b5,2023-09-19 08:00:00,1.34262302,,,punk-domains,Punk Domains
412,Punk Domains | Web3 Social Names Protocol,punk-domains-2,punk-domains,0x12e838f846ffdade34b2e006f84117a370d71687,punk-domains,0x8b70206844630d8c0a2a545e92d3c8d46a3ceaad,The New protocol ideas Round,42161,0xce06ebb79f95943ca9125b85ca0294c302e846b5,2023-09-19 08:00:00,487.13496255,5065.3084412892,5552.4434038392,punk-domains,Punk Domains
413,Punk Domains | Web3 Social Names Protocol,punk-domains-2,punk-domains,0x12e838f846ffdade34b2e006f84117a370d71687,punk-domains,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-15 08:00:00,3179.3281888,2723.15642027724,5902.484609077241,punk-domains,Punk Domains
414,Punk Domains | Web3 Social Names Protocol,punk-domains-2,punk-domains,0x12e838f846ffdade34b2e006f84117a370d71687,punk-domains,0xd0a086c37fbd20c44f3ba2cff69208d1b62f54e3,The Gaming Round,42161,0xce06ebb79f95943ca9125b85ca0294c302e846b5,2023-09-19 08:00:00,1.68104666,,,punk-domains,Punk Domains
415,Punk Domains | Web3 Social Names Protocol,punk-domains-2,punk-domains,0x12e838f846ffdade34b2e006f84117a370d71687,punk-domains,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-15 07:00:00,391.85432125,674.6298333428269,1066.484154592827,punk-domains,Punk Domains
458,DefiLlama,defillama,"defi-llama, chainlist-defillama",0x08a3c2a819e3de7aca384c798269b3ce1cd0e437,defi-llama,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-25 08:00:00,32360.59114329,13986.44771066475,46347.03885395475,defi-llama,DefiLlama
459,DefiLlama,defillama,"defi-llama, chainlist-defillama",0x08a3c2a819e3de7aca384c798269b3ce1cd0e437,defi-llama,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-15 07:00:00,15201.59982667,12285.34697975177,27486.946806421773,defi-llama,DefiLlama
516,Umbra,scopelift,"scope-lift, umbra",0x57ea12a3a8e441f5fe7b1f3af1121097b7d3b6a8,scope-lift,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-25 08:00:00,9949.73538732,13986.44771066475,23936.18309798475,scope-lift,ScopeLift
517,Umbra,scopelift,"scope-lift, umbra",0x57ea12a3a8e441f5fe7b1f3af1121097b7d3b6a8,scope-lift,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-15 08:00:00,10489.24184674,14987.98179462328,25477.223641363278,scope-lift,ScopeLift
518,Umbra,scopelift,"scope-lift, umbra",0x57ea12a3a8e441f5fe7b1f3af1121097b7d3b6a8,scope-lift,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-15 07:00:00,7098.02976063,6514.334378883141,13612.364139513142,scope-lift,ScopeLift
735,Flexible Voting,scopelift,"scope-lift, umbra",0x5c04e7808455ee0e22c2773328c151d0dd79dc62,scope-lift,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-25 08:00:00,457.2459044,317.6718609609386,774.9177653609386,scope-lift,ScopeLift
