date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Retained Daily Active Users,forecasted_DAA/MAA
2024-11-18,57701.47943781697,78358.44550178586,959.8817000833501,2.7029287657024156e+19,0.8298214292818819,0.5088580841619942
2024-11-19,56729.04057812921,69116.00795625562,575.137998827659,2.5180677948428636e+19,0.4399057939100949,0.6696257191866987
2024-11-20,61783.96473859289,106427.98153181646,735.2232743071825,2.5214938225830654e+19,0.8904549694829635,0.4147442202573665
2024-11-21,78358.76217120368,35892.43008623686,950.9883828927627,2.8796180109543494e+19,0.7007761802081027,0.41218221323677223
2024-11-22,76879.45742826986,81765.384234498,842.1833472755173,3.0336969213137916e+19,0.8800239800227062,0.57907841129095
2024-11-23,68027.51122089352,41592.1560912987,777.3445151568881,3.0189182748943806e+19,0.9914606746010156,0.19902266655060227
2024-11-24,63513.88806251278,40795.534318102975,824.2972215348783,2.917740796297763e+19,1.3541131686183234,0.3681508539572976
2024-11-25,74537.70498693749,75569.631261018,844.7039796096914,9.951861299467758e+18,0.6827600142728558,0.33935711671442503
2024-11-26,40485.754198183204,63142.72085912522,764.5631314902805,3.3061559930722222e+19,0.8804481026585832,0.38748394206406683
2024-11-27,50213.16570712314,65276.21553322524,876.297401117916,1.9443679816852484e+19,0.9825540525360302,0.31308028924062237
2024-11-28,65416.40254576652,57265.75289581033,618.317813285351,2.080388166962768e+19,0.7276028047624464,0.2471223625764709
2024-11-29,50569.82634179229,55704.876857676725,549.6529482738246,1.4483356375923558e+19,0.6417484454671223,0.5062378368037667
2024-11-30,47616.95719690493,81015.95321449797,651.7928048475571,2.407683320159641e+19,1.0215886754307226,0.42143658282357166
2024-12-01,30953.688657337083,76125.94136180908,1114.2316674056353,1.7384053367539937e+19,1.0557147073317745,0.30092367643401785
2024-12-02,66233.14487144609,49815.64029164221,715.7778747848154,2.2611539434863997e+19,0.8647707270894953,0.3951919757795294
2024-12-03,39334.46244702636,74367.05983598057,770.7339203205709,2.5239355307441107e+19,1.010196321929977,0.3342258976264392
2024-12-04,48171.02461082543,42811.06271420004,764.3985603721902,1.9083281019093156e+19,1.2980687921983078,0.2411598253290442
2024-12-05,58975.79413875086,53001.28801639189,874.9317622283187,2.2458993414319362e+19,0.7482468829113819,0.5277078568645518
2024-12-06,28948.999701782195,36248.59041684697,1088.6176989191877,2.9277535485871575e+19,0.7841106775037783,0.2457731256778033
2024-12-07,44743.69167817603,48528.40989267408,1197.664388881092,1.9700710385657303e+19,0.7492777189601796,0.388191422574385
2024-12-08,46147.49198004238,60779.844550808,760.9736410739227,1.8764038848051405e+19,1.2620568982790643,0.3738446752974152
2024-12-09,50810.31142278845,63469.47164975907,715.1329768587026,3.028582782597206e+19,0.9699313524145121,0.38197535411611605
2024-12-10,39404.32804521344,53636.52499645487,734.7541818864809,2.6067705421145223e+19,1.170774829144242,0.48133256465769464
2024-12-11,61902.25530632875,71864.86029707402,819.3732401114788,1.9813617680686064e+19,1.00764127493483,0.38730026441286125
2024-12-12,29567.95365206356,30593.122398645348,404.4637644061791,1.987244499642629e+19,0.8614005820553468,0.39469752353374704
2024-12-13,57041.28929346278,31321.684828571546,329.4807703251867,2.14964598609787e+19,0.5843256807003722,0.3625748001628695
2024-12-14,57871.82828199739,71965.90983697724,732.8951078517174,3.0171046150747034e+19,0.8701694232536548,0.5081621166809555
2024-12-15,42251.29927521749,55228.219920460484,465.76064914188976,2.3055190129696145e+19,1.132895188637613,0.5290758743391042
2024-12-16,63007.48277938336,45161.303104976214,446.882613553575,2.8747865888166715e+19,0.7703452034086185,0.28822581710171113
2024-12-17,43997.07266105534,32412.35626291433,434.68927698781397,3.1548899704731628e+19,1.2302986542265544,0.684797119707088
2024-12-18,84210.95568149188,62732.84765357964,596.9361587057365,4.23197257762864e+19,0.7780582774498624,0.6833303365427632
2024-12-19,39852.617557543,62687.5206035324,919.3550341380043,3.4368071034975306e+19,0.8334198439012992,0.6795002225615203
2024-12-20,52072.992037803924,26250.278791852394,586.3659868183823,3.2314237747897704e+19,0.2862651113962368,0.4125717799940056
2024-12-21,45942.588414994585,63951.77565827822,529.2398908076907,3.768118429100584e+19,0.6388387698920821,0.4749068370073594
2024-12-22,43909.32460205346,66676.29581348144,1274.385720012809,2.6304357504631816e+19,0.7232632072612662,0.4826720957743396
2024-12-23,44482.44261928278,39566.05530404101,517.2085186165248,3.1970688556751286e+19,0.8390848443927668,0.4579090720350854
2024-12-24,45753.06429816967,81760.99357705246,541.8746410566578,2.8503923554763575e+19,0.6429172944715745,0.5275878810226016
2024-12-25,67904.59505646367,89644.42254469526,557.7814048503948,3.203136053142045e+19,0.5797203522572877,0.5554370264419163
2024-12-26,54105.34781552106,95956.63321534984,681.339277079157,3.958847216522662e+19,0.9959168887596478,0.4722611342414549
2024-12-27,13312.03105954538,88277.84908877916,494.31407754064713,3.785349228625474e+19,0.9073747924328056,0.5384910745686178
2024-12-28,37128.100223049405,112813.67875164139,626.8849195888342,2.7547811070332654e+19,0.701371184331541,0.4017136155266426
2024-12-29,31866.880564048963,65575.0076040181,517.3347878468302,4.1125057049726886e+19,1.0693577934400411,0.293526162786218
2024-12-30,39325.4937075043,58645.63428949408,885.0829619504494,4.595350107386007e+19,0.9135760831947388,0.5811510676524703
2024-12-31,33800.50597049991,93336.1166415015,518.9572261774266,3.4632684173917356e+19,0.7727414948946952,0.4125195096330955
2025-01-01,42564.18433719609,58641.96933906864,438.6317938669233,3.1942744062220014e+19,0.6105821946880688,0.4292237658188243
