project_slug,num_repos,num_contracts
mufex-exchange,4,0
orderlynetwork,13,0
requestnetwork,41,0
revest-finance,21,0
vyper-protocol,11,0
zklinkprotocol,34,0
aboard-exchange,3,0
battledog-games,14,0
bhavish-finance,2,0
glitter-finance,10,0
hyperliquid-dex,8,0
popcorn-limited,24,0
provable-things,79,0
switchboard-xyz,73,0
zerodao-finance,12,0
aragonzkresearch,24,0
automata-network,84,0
extracredit-team,2,0
impermax-finance,10,0
kassandrafinance,7,0
metalineinfinity,5,0
particle-network,35,0
tablelandnetwork,57,0
umbrella-network,13,0
unlimitednetwork,1,0
backstop-protocol,48,0
interlock-network,14,0
reservoirprotocol,31,0
chromatic-protocol,16,0
mint-tea-ethonline,1,0
neptune-mutual-blue,14,0
open-defi-notification-protocol,3,0
