date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-compound_finance,forecasted_TVL_opchain-compound_finance,forecasted_TVL-compound_v1_protocol,forecasted_TVL_opchain-compound_v1_protocol,forecasted_TVL-compound_v2_protocol,forecasted_TVL_opchain-compound_v2_protocol
2024-09-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2442136340435507,1915765912.386236,2086714139.4045048,3524817.851487531,3594212.015204947,627419156.0605781,637166017.1068301
2024-09-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.33504261817879183,1790376405.9643545,1787471371.3033595,3405781.162139789,3007309.825553325,586329032.8759379,581043985.9479603
2024-09-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.33688698931681643,2061018117.126101,1895994082.8226123,3533921.7849473367,3650591.3261742136,580210950.3017318,633505804.9942057
2024-09-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.20954951516861609,1903812662.4949439,1908391225.5375624,3712735.8781735674,3276571.768090165,572397951.8173859,612240546.3746351
2024-09-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.15287300297373568,1967344695.105428,1820923727.0023403,3406844.0032526534,3177247.7838240187,556104933.4462422,602312902.2774876
2024-09-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18478016851467902,1866468552.7743392,1726419612.1269555,3478881.7639496634,3150381.8717754423,571861543.825635,580086685.2755373
2024-09-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18630048397847299,1982655713.0157368,1760987407.078114,3598897.053029702,3006977.081925917,542104769.3370006,581668841.9202954
2024-09-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.12284766885984855,1819047115.835155,1715911222.4670944,3385341.093324902,3007617.7079972993,587461904.4457988,548768730.2267458
2024-09-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.17279603251948883,1796163597.615665,1880080083.4070342,3464341.221492136,3184028.015643019,537693033.73759,571384472.7455649
2024-09-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1785187470642833,1590811484.4597414,1876962460.9973543,3464500.285032398,3032223.649353136,567293582.1655325,579018300.5145308
2024-09-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1426944438171393,1665661630.187531,1979945876.1492083,3387410.601594648,3322207.9423867855,472846635.191197,568793291.4006914
2024-09-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.16094389301748896,1619655812.1267629,1801884046.9573653,3360298.2935188944,2789437.9568671696,549374616.8342297,577818402.5270973
2024-09-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.4116763046052792,1762251324.564073,1973188564.2019691,3398287.7018330786,3122444.216212265,449656267.88324744,634878557.3411295
2024-09-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2511697893873413,1699103086.343749,2005668677.0372531,3466935.5275981054,3486378.466436599,546966261.4963833,624737203.2749596
2024-09-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.28993913517730646,1563808480.9754097,2027476873.8132343,3129777.277788084,3369197.621970681,507060290.5019005,666618781.7447778
2024-09-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.25683164664547353,1623397165.1781821,1886722533.3047228,2997344.2635659063,3188076.5725111514,482173478.6752966,557931624.9299589
2024-09-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.3604508118174224,1582419485.318155,1760335164.6843555,3334300.3475486264,2912261.216432353,551345422.9344698,598084570.0270593
2024-09-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.14718198763768534,1658258668.5269456,1858989641.2462792,3110178.3185070776,3368794.5508519365,536456771.64294714,566931683.0102307
2024-09-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1447918437983113,1561638575.844591,1860742515.2890515,2815099.4716494703,3430136.2306120484,566287062.43418,651235922.1897931
2024-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.15299747691175516,1686907874.8706229,1971536004.8324811,3397468.5419634953,3377268.8582764887,535797273.4581818,672817477.7786733
2024-09-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.13535342532345393,1599089566.8723307,1931508074.818658,3175433.464703617,3630650.8513860554,529044034.16890955,666327502.449123
2024-09-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.38903777971168324,1647169265.1766307,1938315726.7226918,3132246.731856867,3468317.6560713267,551583628.1714334,675643280.8256418
2024-09-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.15381746198827467,1673816184.6559584,1937409984.3027284,3063100.4575048205,3573119.135352454,566415153.1359146,629512216.5181487
2024-09-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.23450792598178463,1660229613.7412157,2163096365.3990803,2985697.3942667036,3716959.9817333543,432964924.7653285,765786154.2446268
2024-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.24049557278336733,1666379493.7163825,2017877143.2986293,2905021.53411037,3883247.0464660805,549699662.8832463,704796818.7002605
2024-09-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.29422753391752743,1508315448.5529053,2043891750.9654295,3261415.466811647,3588669.174062663,418560920.9071293,715170968.7697177
2024-09-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.24756917760714547,1614168454.1093318,2161001571.139249,2972941.7908182135,3942934.5800790233,510157205.6776359,727753568.4867165
2024-09-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2514193947378162,1508222354.9572878,2121258138.8514729,2952261.6066672807,4340722.953498794,491245411.28020185,673151495.6465261
