transaction_date,address,cnt,total_transferred,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-06-02,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,1.0,1e-15
2024-06-04,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,2.0,2e-15
2024-06-05,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,3.0,3.0000000000000002e-15
2024-06-06,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,4.0,4e-15
2024-06-07,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,5.0,5.000000000000001e-15
2024-06-08,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,6.0,6.0000000000000005e-15
2024-06-09,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,7.0,7e-15
2024-06-10,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,8.0,8e-15
2024-06-11,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,9.0,9.000000000000001e-15
2024-06-12,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,10.0,1.0000000000000002e-14
2024-06-13,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,11.0,1.1e-14
2024-06-14,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,12.0,1.2000000000000001e-14
2024-06-17,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,13.0,1.3000000000000001e-14
2024-06-18,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,14.0,1.4e-14
2024-06-19,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,15.0,1.5000000000000002e-14
2024-06-20,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,16.0,1.6e-14
2024-06-21,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,17.0,1.7e-14
2024-07-10,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,2,2.0,2e-15,19.0,1.9e-14
2024-07-12,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,20.0,2.0000000000000003e-14
2024-07-15,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,21.0,2.1000000000000002e-14
2024-07-16,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,22.0,2.2e-14
2024-07-17,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,23.0,2.3000000000000003e-14
2024-07-18,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,24.0,2.4000000000000002e-14
2024-07-19,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,25.0,2.5e-14
2024-07-22,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,2,2.0,2e-15,27.0,2.7000000000000002e-14
2024-07-23,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,28.0,2.8e-14
2024-07-24,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,29.0,2.9e-14
2024-07-25,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,30.0,3.0000000000000005e-14
2024-07-26,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,31.0,3.1e-14
2024-07-28,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,32.0,3.2e-14
2024-07-29,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,33.0,3.3000000000000005e-14
2024-07-30,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,34.0,3.4e-14
2024-07-31,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,1,1.0,1e-15,35.0,3.5e-14
