date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-pyth_network_protocol,forecasted_TVL_opchain-pyth_network_protocol
2024-10-29 00:00:00,0.0,0.0,0.0,0.0,1.1651953950330084e-09,0,0.0
2024-10-30 00:00:00,0.0,0.0,0.0,0.0,1.559757720533329e-09,0,0.0
2024-10-31 00:00:00,0.0,0.0,0.0,0.0,1.054257497261491e-09,0,0.0
2024-11-01 00:00:00,0.0,0.0,0.0,0.0,9.884048340597497e-10,0,0.0
2024-11-02 00:00:00,0.0,0.0,0.0,0.0,1.2037811061956755e-09,0,0.0
2024-11-03 00:00:00,0.0,0.0,0.0,0.0,2.1731018627497626e-14,0,0.0
2024-11-04 00:00:00,0.0,0.0,0.0,0.0,2.1195385085183187e-14,0,0.0
2024-11-05 00:00:00,0.0,0.0,0.0,0.0,2.8662876425949706e-14,0,0.0
2024-11-06 00:00:00,0.0,0.0,0.0,0.0,1.3712559627414745e-09,0,0.0
2024-11-07 00:00:00,0.0,0.0,0.0,0.0,1.0931660357147718e-09,0,0.0
2024-11-08 00:00:00,0.0,0.0,0.0,0.0,1.094846631639924e-09,0,0.0
2024-11-09 00:00:00,0.0,0.0,0.0,0.0,9.911509413742914e-10,0,0.0
2024-11-10 00:00:00,0.0,0.0,0.0,0.0,4.6538897757788704e-10,0,0.0
2024-11-11 00:00:00,0.0,0.0,0.0,0.0,1.1088355405071331e-09,0,0.0
2024-11-12 00:00:00,0.0,0.0,0.0,0.0,7.231574340497092e-10,0,0.0
2024-11-13 00:00:00,0.0,0.0,0.0,0.0,9.142809430495334e-10,0,0.0
2024-11-14 00:00:00,0.0,0.0,0.0,0.0,1.1533385539974562e-09,0,0.0
2024-11-15 00:00:00,0.0,0.0,0.0,0.0,5.453164268124045e-10,0,0.0
2024-11-16 00:00:00,0.0,0.0,0.0,0.0,1.002188707345581e-09,0,0.0
2024-11-17 00:00:00,0.0,0.0,0.0,0.0,1.4693142016525326e-09,0,0.0
2024-11-18 00:00:00,0.0,0.0,0.0,0.0,1.022482940651003e-09,0,0.0
2024-11-19 00:00:00,0.0,0.0,0.0,0.0,9.279851207150805e-10,0,0.0
2024-11-20 00:00:00,0.0,0.0,0.0,0.0,9.388103441724556e-10,0,0.0
2024-11-21 00:00:00,0.0,0.0,0.0,0.0,1.0034611428840623e-09,0,0.0
2024-11-22 00:00:00,0.0,0.0,0.0,0.0,1.0792615249836009e-09,0,0.0
2024-11-23 00:00:00,0.0,0.0,0.0,0.0,8.543246625370527e-10,0,0.0
2024-11-24 00:00:00,0.0,0.0,0.0,0.0,7.367163606794585e-10,0,0.0
2024-11-25 00:00:00,0.0,0.0,0.0,0.0,1.052730686595729e-09,0,0.0
2024-11-26 00:00:00,0.0,0.0,0.0,0.0,8.316944271931199e-10,0,0.0
2024-11-27 00:00:00,0.0,0.0,0.0,0.0,1.0230881316385918e-09,0,0.0
2024-11-28 00:00:00,0.0,0.0,0.0,0.0,1.2546016084744642e-09,0,0.0
2024-11-29 00:00:00,0.0,0.0,0.0,0.0,1.1014771289648367e-09,0,0.0
2024-11-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0.0
2024-12-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0.0
2024-12-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0.0
2024-12-03 00:00:00,0.0,0.0,0.0,0.0,1.286763960887351e-09,0,0.0
2024-12-04 00:00:00,0.0,0.0,0.0,0.0,1.002434171985051e-09,0,0.0
2024-12-05 00:00:00,0.0,0.0,0.0,0.0,1.3493785552581077e-09,0,0.0
2024-12-06 00:00:00,0.0,0.0,0.0,0.0,4.351663172365029e-14,0,0.0
2024-12-07 00:00:00,0.0,0.0,0.0,0.0,5.328780226073122e-14,0,0.0
2024-12-08 00:00:00,0.0,0.0,0.0,0.0,4.447888583603102e-14,0,0.0
2024-12-09 00:00:00,0.0,0.0,0.0,0.0,9.760665380655213e-10,0,0.0
2024-12-10 00:00:00,0.0,0.0,0.0,0.0,1.0479486047721897e-09,0,0.0
2024-12-11 00:00:00,0.0,0.0,0.0,0.0,5.366378298384527e-10,0,0.0
2024-12-12 00:00:00,0.0,0.0,0.0,0.0,7.907949752880027e-10,0,0.0
2024-12-13 00:00:00,0.0,0.0,0.0,0.0,9.47308512152684e-10,0,0.0
2024-12-14 00:00:00,0.0,0.0,0.0,0.0,8.996710618265806e-10,0,0.0
2024-12-15 00:00:00,0.0,0.0,0.0,0.0,7.932646655429192e-10,0,0.0
2024-12-16 00:00:00,0.0,0.0,0.0,0.0,7.546020594754193e-10,0,0.0
2024-12-17 00:00:00,0.0,0.0,0.0,0.0,1.0465934159858417e-09,0,0.0
2024-12-18 00:00:00,0.0,0.0,0.0,0.0,9.619681595690654e-10,0,0.0
2024-12-19 00:00:00,0.0,0.0,0.0,0.0,8.451178084300404e-10,0,0.0
2024-12-20 00:00:00,0.0,0.0,0.0,0.0,9.639235802546446e-10,0,0.0
2024-12-21 00:00:00,0.0,0.0,0.0,0.0,9.964014360434344e-10,0,0.0
2024-12-22 00:00:00,0.0,0.0,0.0,0.0,8.385234423889569e-10,0,0.0
2024-12-23 00:00:00,0.0,0.0,0.0,0.0,1.1677244465317104e-09,0,0.0
2024-12-24 00:00:00,0.0,0.0,0.0,0.0,1.3295719018811675e-09,0,0.0
2024-12-25 00:00:00,0.0,0.0,0.0,0.0,1.1169175206283589e-09,0,0.0
2024-12-26 00:00:00,0.0,0.0,0.0,0.0,9.67298234444197e-10,0,
2024-12-27 00:00:00,0.0,0.0,0.0,0.0,1.3377961724500146e-09,0,
2024-12-28 00:00:00,0.0,0.0,0.0,0.0,1.1162961462147576e-09,0,
2024-12-29 00:00:00,0.0,0.0,0.0,0.0,1.3643870634984688e-09,0,
2024-12-30 00:00:00,0.0,0.0,0.0,0.0,1.1036713788160933e-09,0,
2024-12-31 00:00:00,0.0,0.0,0.0,0.0,9.679193431379292e-10,0,
2025-01-01 00:00:00,0.0,0.0,0.0,0.0,1.3747192070169621e-09,0,
2025-01-02 00:00:00,0.0,0.0,0.0,0.0,1.3704969428783091e-09,0,
2025-01-03 00:00:00,0.0,0.0,0.0,0.0,1.3478965530244246e-09,0,
2025-01-04 00:00:00,0.0,0.0,0.0,0.0,1.5512757011880432e-09,0,
2025-01-05 00:00:00,0.0,0.0,0.0,0.0,1.1312610683119004e-09,0,
2025-01-06 00:00:00,0.0,0.0,0.0,0.0,1.1732335296278472e-09,0,
2025-01-07 00:00:00,0.0,0.0,0.0,0.0,1.5773963400161015e-09,0,
2025-01-08 00:00:00,0.0,0.0,0.0,0.0,1.6298004168805736e-09,0,
2025-01-09 00:00:00,0.0,0.0,0.0,0.0,1.3582924338534053e-09,0,
2025-01-10 00:00:00,0.0,0.0,0.0,0.0,1.543377089445837e-09,0,
2025-01-11 00:00:00,0.0,0.0,0.0,0.0,2.8561447131115616e-09,0,
2025-01-12 00:00:00,0.0,0.0,0.0,0.0,1.7064947228315034e-09,0,
2025-01-13 00:00:00,0.0,0.0,0.0,0.0,1.173752806243685e-09,0,
2025-01-14 00:00:00,0.0,0.0,0.0,0.0,1.4279428795364473e-09,0,
2025-01-15 00:00:00,0.0,0.0,0.0,0.0,1.1498794878256478e-09,0,
2025-01-16 00:00:00,0.0,0.0,0.0,0.0,1.1898434184456034e-09,0,
2025-01-17 00:00:00,0.0,0.0,0.0,0.0,1.062710318140288e-09,0,
2025-01-18 00:00:00,0.0,0.0,0.0,0.0,9.178504545245847e-10,0,
2025-01-19 00:00:00,0.0,0.0,0.0,0.0,1.2891010566449718e-09,0,
2025-01-20 00:00:00,0.0,0.0,0.0,0.0,1.6175392119539724e-09,0,
2025-01-21 00:00:00,0.0,0.0,0.0,0.0,1.0133666616647392e-09,0,
2025-01-22 00:00:00,0.0,0.0,0.0,0.0,1.4842539586818825e-09,0,
2025-01-23 00:00:00,0.0,0.0,0.0,0.0,1.2473792422937375e-09,0,
2025-01-24 00:00:00,0.0,0.0,0.0,0.0,2.137926256926492e-09,0,
2025-01-25 00:00:00,0.0,0.0,0.0,0.0,1.460760125317679e-09,0,
2025-01-26 00:00:00,0.0,0.0,0.0,0.0,1.5584972154909938e-09,0,
2025-01-26 03:52:23,0.0,0.0,0.0,0.0,8.145824096263759e-10,0,
