date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Gas Fees,forecasted_Retained Daily Active Users,forecasted_DAA/MAA,forecasted_TVL-frax_ether_protocol,forecasted_TVL_opchain-frax_ether_protocol,forecasted_TVL-frax_finance,forecasted_TVL_opchain-frax_finance,forecasted_TVL-frax_fpi_protocol,forecasted_TVL_opchain-frax_fpi_protocol,forecasted_TVL-frax_protocol,forecasted_TVL_opchain-frax_protocol,forecasted_TVL-frax_swap_protocol,forecasted_TVL_opchain-frax_swap_protocol
2024-09-19 00:00:00,9004.967448823803,4316.393040986352,829.932301452914,1.6717500223535792e+20,1.1321999939272778,1.0730508386886237,0.156989244992173,507987838.8187851,380905101.9945572,290262741.64960206,353438874.899209,488916.03557743144,598850.4406495616,5472822.858647136,4337054.66148377,37380356.31825328,35255852.530162044
2024-09-20 00:00:00,19137.03910618471,2856.134860674472,1432.1609272282635,1.519151126469957e+20,0.6981450248445151,0.48441319184851944,0.1778083176364566,433220472.15303814,434644508.29454243,288754582.3443699,354686900.7111326,438286.12559107365,654965.0488750457,4626375.782466042,4750244.207970294,34483703.548826784,36264235.48426789
2024-09-21 00:00:00,14844.963603665932,5641.267992908735,2555.003595599707,1.7683456836229654e+20,0.5672366418415455,0.7817576433000734,0.249269223330681,467675497.5728948,413973930.53114235,264902918.41564712,360865812.9800605,443543.0113737298,682720.4317537948,5141493.942139024,4423412.582185375,34969859.568917826,39370327.577328965
2024-09-22 00:00:00,12580.544077282724,5327.260487730804,2052.505840989917,1.5879921917341614e+20,0.7443603601228722,0.8502618305166789,0.27714400407952805,451919257.55160385,461629681.270576,275709312.7085781,357411083.58358294,416635.8790332065,678062.5836306125,4509456.122502626,4706568.22097385,35362032.967886806,37874030.561561935
2024-09-23 00:00:00,11663.690604166168,3192.9749851448682,1207.077605392237,1.78446464974893e+20,0.4411136021429147,1.0962397916185174,0.3422408607516895,503533458.0681571,434476758.2590574,247499411.7256964,377845278.3258336,439978.62611444574,692468.0546998734,4934772.594864019,4678358.217706017,37390566.8271904,37079923.621792264
2024-09-24 00:00:00,17261.531064005896,3889.7439400253747,1511.6209122502419,1.998761080256921e+20,0.8965702698255734,0.7605964598806136,0.17273420252436608,475197333.6155522,461547189.43758714,257941721.37445953,378479951.10677105,446452.41117080237,721772.545954551,4758911.600587601,4579126.055844624,31930363.218739297,42466490.1742129
2024-09-25 00:00:00,17905.54247036233,6508.793202458249,916.1329640013047,2.2486398349141983e+20,0.7270946490597285,0.9740560443275177,0.2003631899886275,545263706.946099,417328706.7644995,236828355.5632215,398905715.6423396,449905.38172517915,766075.5530710425,5356631.003353081,4854215.0027927,33663523.365633994,39572218.86871685
2024-09-26 00:00:00,11435.923718873748,3537.1053985898707,1614.5753716023864,1.7828840984732516e+20,0.5636177196190767,0.9124139763064786,0.23933064509158544,496062844.4176258,479355180.1820182,240416990.178781,383587733.2693562,409107.568885798,778206.4929634439,5114141.5715099275,4867039.714651079,33331104.554588553,45941587.59298841
2024-09-27 00:00:00,11613.764571888942,4501.317757993149,1235.1946499334038,1.2705504156982115e+20,0.8789043165235482,0.8119169604322476,0.2135997291214771,504790896.2434624,491296305.9672506,217985236.62428322,372349232.6787165,431269.9186546795,800307.8814264339,5093589.21654325,4423426.36535346,36188719.12151958,42812998.96991499
2024-09-28 00:00:00,8654.459743254647,3953.8470477024607,1505.7588606340323,1.5914501465894024e+20,1.1120065914399415,0.8129519253587648,0.20825637371227995,465834292.38862395,482116546.98908645,221512733.0560471,385734310.60809875,405268.4096094698,798350.8887823881,4934000.309880817,5224596.595152664,35979519.12530931,42136516.62525847
2024-09-29 00:00:00,10046.713750771525,3644.9005361936033,1843.7995313233225,1.9761654137458973e+20,0.7139441343498084,0.5651946174089282,0.22859352986682158,511306278.21087855,477734616.0232304,230669864.11579403,399762887.04742086,387808.8756673864,783294.0793490616,5221481.458718576,4686786.207535946,35600178.69552235,42839302.89031405
2024-09-30 00:00:00,11037.568316861578,4310.475501026685,2124.3586664120667,7.43435845131047e+19,0.6607307088519184,0.6768160659467769,0.247544399884867,488283260.4311812,420345512.24311113,225557646.2293953,379272075.7004345,389539.64524293493,765644.8284375956,5176348.238891491,5098004.033532059,35290564.4327525,41126542.980190344
2024-10-01 00:00:00,8690.035719632904,3838.937364413326,2155.249020960151,1.595700343483387e+20,0.7932533113369422,1.1191244346477511,0.18659306903028394,487092321.4954203,427827528.20339406,217649136.18630794,377572694.5300212,382445.03321781027,670521.4086453037,5138890.966195615,4778798.470710078,32928457.148610137,40420056.77259265
2024-10-02 00:00:00,9716.656145933153,4190.758380753952,2255.461833908706,1.0321035346876719e+20,1.0310437101472965,0.7369237791150534,0.22160542469934214,445008982.89535856,388826469.7954637,215468244.7385036,333800856.78602546,378835.9009152103,556413.4559988593,5034740.216460255,4450078.0016625,32212652.597873874,35512950.5240929
2024-10-03 00:00:00,13287.119156076855,3864.1911930326814,2211.785961003491,1.8460039767144015e+20,0.6981329037637272,0.8569699589953744,0.25291276648993494,524680371.67427695,425162550.47925216,227684575.03882843,337773431.29614,370530.08920530207,552335.2799996906,4998964.060923227,4591137.907945421,30920587.98548566,33971543.364185326
2024-10-04 00:00:00,12072.079219901143,3927.728472974481,1324.5126104333895,2.105274196837539e+20,0.5382965071706719,1.0161842781080945,0.283127428936218,459213788.08514446,369944615.6295231,233762560.79658478,318910544.3744285,403840.6717630639,556737.1462906465,5031763.440363567,4173751.713971025,31149798.215791497,36231001.84750327
2024-10-05 00:00:00,11221.26432889432,3097.671277407818,1284.0488743618425,1.9843248490327225e+20,0.7517013857527158,1.1056243286737502,0.2909678854640198,523291754.47722834,362370085.59598047,218003782.10668126,353915893.5745073,358173.391739814,594430.9302088671,4511636.511255984,4436991.752437294,31505376.496229734,31251278.21392844
2024-10-06 00:00:00,9333.024964432934,3814.6087310295798,1265.030367976137,2.2635636518024082e+20,1.2883889117836282,1.0842832298092733,0.20878765233745167,480974443.78490406,473578121.45644265,214300793.79845047,348761473.97366595,319079.2775385342,633110.8200510683,4664556.4522324875,4339157.727736084,30940577.38338596,32894104.527495697
