transaction_date,address,cnt,total_transferred,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-06-01,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,6,0.0,0.0,0.0,0.0
2024-06-02,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,5,0.0,0.0,0.0,0.0
2024-06-03,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,11,0.0,0.0,0.0,0.0
2024-06-04,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,17,0.0,0.0,0.0,0.0
2024-06-05,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,27,0.0,0.0,0.0,0.0
2024-06-06,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,24,0.0,0.0,0.0,0.0
2024-06-07,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,16,0.0,0.0,0.0,0.0
2024-06-08,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,9,0.0,0.0,0.0,0.0
2024-06-09,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,9,0.0,0.0,0.0,0.0
2024-06-10,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,13,0.0,0.0,0.0,0.0
2024-06-11,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,12,0.0,0.0,0.0,0.0
2024-06-12,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,50,0.0,0.0,0.0,0.0
2024-06-13,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,60,0.0,0.0,0.0,0.0
2024-06-14,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,31,0.0,0.0,0.0,0.0
2024-06-15,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,19,0.0,0.0,0.0,0.0
2024-06-16,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,21,0.0,0.0,0.0,0.0
2024-06-17,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,15,0.0,0.0,0.0,0.0
2024-06-18,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,20,0.0,0.0,0.0,0.0
2024-06-19,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,20,0.0,0.0,0.0,0.0
2024-06-20,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,11,0.0,0.0,0.0,0.0
2024-06-21,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,13,0.0,0.0,0.0,0.0
