transaction_date,address,cnt,total_transferred,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-09-04,0x2416092f143378750bb29b79ed961ab195cceea5,1054,0.0,0.0,0.0,0.0
2024-09-05,0x2416092f143378750bb29b79ed961ab195cceea5,1062,0.0,0.0,0.0,0.0
2024-09-06,0x2416092f143378750bb29b79ed961ab195cceea5,920,0.0,0.0,0.0,0.0
2024-09-07,0x2416092f143378750bb29b79ed961ab195cceea5,688,0.0,0.0,0.0,0.0
2024-09-08,0x2416092f143378750bb29b79ed961ab195cceea5,527,0.0,0.0,0.0,0.0
2024-09-09,0x2416092f143378750bb29b79ed961ab195cceea5,609,0.0,0.0,0.0,0.0
2024-09-10,0x2416092f143378750bb29b79ed961ab195cceea5,541,0.0,0.0,0.0,0.0
2024-09-11,0x2416092f143378750bb29b79ed961ab195cceea5,730,0.0,0.0,0.0,0.0
2024-09-12,0x2416092f143378750bb29b79ed961ab195cceea5,568,0.0,0.0,0.0,0.0
2024-09-13,0x2416092f143378750bb29b79ed961ab195cceea5,328,0.0,0.0,0.0,0.0
2024-09-14,0x2416092f143378750bb29b79ed961ab195cceea5,392,0.0,0.0,0.0,0.0
2024-09-15,0x2416092f143378750bb29b79ed961ab195cceea5,343,0.0,0.0,0.0,0.0
2024-09-16,0x2416092f143378750bb29b79ed961ab195cceea5,335,0.0,0.0,0.0,0.0
2024-09-17,0x2416092f143378750bb29b79ed961ab195cceea5,294,0.0,0.0,0.0,0.0
2024-09-18,0x2416092f143378750bb29b79ed961ab195cceea5,389,0.0,0.0,0.0,0.0
2024-09-19,0x2416092f143378750bb29b79ed961ab195cceea5,416,0.0,0.0,0.0,0.0
2024-09-20,0x2416092f143378750bb29b79ed961ab195cceea5,369,0.0,0.0,0.0,0.0
2024-09-21,0x2416092f143378750bb29b79ed961ab195cceea5,419,0.0,0.0,0.0,0.0
2024-09-22,0x2416092f143378750bb29b79ed961ab195cceea5,450,0.0,0.0,0.0,0.0
2024-09-23,0x2416092f143378750bb29b79ed961ab195cceea5,433,0.0,0.0,0.0,0.0
2024-09-24,0x2416092f143378750bb29b79ed961ab195cceea5,488,0.0,0.0,0.0,0.0
2024-09-25,0x2416092f143378750bb29b79ed961ab195cceea5,842,0.0,0.0,0.0,0.0
2024-09-26,0x2416092f143378750bb29b79ed961ab195cceea5,684,0.0,0.0,0.0,0.0
2024-09-27,0x2416092f143378750bb29b79ed961ab195cceea5,594,0.0,0.0,0.0,0.0
2024-09-28,0x2416092f143378750bb29b79ed961ab195cceea5,628,0.0,0.0,0.0,0.0
2024-09-29,0x2416092f143378750bb29b79ed961ab195cceea5,663,0.0,0.0,0.0,0.0
2024-09-30,0x2416092f143378750bb29b79ed961ab195cceea5,570,0.0,0.0,0.0,0.0
2024-10-01,0x2416092f143378750bb29b79ed961ab195cceea5,392,0.0,0.0,0.0,0.0
2024-10-02,0x2416092f143378750bb29b79ed961ab195cceea5,446,0.0,0.0,0.0,0.0
2024-10-03,0x2416092f143378750bb29b79ed961ab195cceea5,454,0.0,0.0,0.0,0.0
2024-10-04,0x2416092f143378750bb29b79ed961ab195cceea5,381,0.0,0.0,0.0,0.0
2024-10-05,0x2416092f143378750bb29b79ed961ab195cceea5,400,0.0,0.0,0.0,0.0
2024-10-06,0x2416092f143378750bb29b79ed961ab195cceea5,439,0.0,0.0,0.0,0.0
2024-10-07,0x2416092f143378750bb29b79ed961ab195cceea5,392,0.0,0.0,0.0,0.0
2024-10-08,0x2416092f143378750bb29b79ed961ab195cceea5,405,0.0,0.0,0.0,0.0
2024-10-09,0x2416092f143378750bb29b79ed961ab195cceea5,519,0.0,0.0,0.0,0.0
2024-10-10,0x2416092f143378750bb29b79ed961ab195cceea5,714,0.0,0.0,0.0,0.0
2024-10-11,0x2416092f143378750bb29b79ed961ab195cceea5,702,0.0,0.0,0.0,0.0
2024-10-12,0x2416092f143378750bb29b79ed961ab195cceea5,904,0.0,0.0,0.0,0.0
2024-10-13,0x2416092f143378750bb29b79ed961ab195cceea5,952,0.0,0.0,0.0,0.0
2024-10-14,0x2416092f143378750bb29b79ed961ab195cceea5,1067,0.0,0.0,0.0,0.0
2024-10-15,0x2416092f143378750bb29b79ed961ab195cceea5,1141,0.0,0.0,0.0,0.0
2024-10-16,0x2416092f143378750bb29b79ed961ab195cceea5,1157,0.0,0.0,0.0,0.0
2024-10-17,0x2416092f143378750bb29b79ed961ab195cceea5,1083,0.0,0.0,0.0,0.0
2024-10-18,0x2416092f143378750bb29b79ed961ab195cceea5,901,0.0,0.0,0.0,0.0
2024-10-19,0x2416092f143378750bb29b79ed961ab195cceea5,848,0.0,0.0,0.0,0.0
2024-10-20,0x2416092f143378750bb29b79ed961ab195cceea5,802,0.0,0.0,0.0,0.0
