address,op_reward
0x000000236c4916f5d00f9964af6c7018cf720000,16246.250416284
0x09c41efc1c7e2c2a11bb153ef39affeaff2cedcd,13095.472413832
0x81ba93b26bce8ca5d649b6607df15e6d45462d8f,9647.058949698
0x762d625e42db0ceab060ffd16543181090276653,7144.796856535
0x974745335b2b716bdc66a1ddce373ccff1d1a58e,6460.719206872
0x0355e19e998aba39600b0f9db5391c1e535268b0,5850.370740418
0xec28220ab6d26d5945ff90fe172637d4f4ff2e23,5587.760997298
0x271d8e39108990e89de0aef49275a194269b58c5,5341.102715585
0xa6bc1579fc0debeccfd9c09ed58e46b486e6deaf,5040.04516665
0xbd09ad7784b988cdf8227695b4c576a4a9de9658,5006.965334831
0x8724915826d3c8e475064ecf5aab65a70af4b985,4821.875043723
0x44684f94dbed38894f3d6c469ed7913af3b8e0c0,4698.339385461
0x51523910f2d67f9ff5bce6423188ff57be6eb722,4446.253260262
0x3679e7c37fe48243f4cd41c0c0ae78828840d366,4406.278459096
0xeef697ac272b913ce523f1364253f90c8a8c005f,3994.642752238
0x4076dc883750f40484298e8a300bf1e50d031787,3664.347552754
0x537f3d84d0708cec8f2e0ad464745f6b2e216fd4,3643.413995731
0x60808732c46928b183b89f2fcc9bd3206eba140f,3613.813697663
0x49a7936cf4ae66c1596005999bd772b06c0763fb,3347.939205791
0x00ad3d4cc099be937879451698c673cbd5c3cefc,3150.736116009
0x81eb4a92d31be8223e04c0d2c6428f15686ebeac,3108.860562804
0x242ce8b13b34ff3a110fdabff9392e5816d040d0,3046.104171445
0xd778731093289566ebf037dfc7b04d91230b8513,3012.478174195
0x95f6915a3839c284bac794a85032555aa0b56226,2875.859037174
0x8dc6e6682b56e8792543103aa0892be12a7c7dd7,2796.400349923
0x89c84fbbfffdf0b5029e7a6c46833ca0692f15c5,2667.698366761
0xc027a5b987227d06838b6e4fddfbd1fbd993aa04,2642.110935167
0x4b3382abb9ff228ea8c0f57f90b03d22538e496a,2530.598881254
0x9b2cf71aacf0e7192d17e1a0d8fdd942f0b6402e,2246.475229354
0x49379efae465c8d420357142477c09386cc1e764,2194.293744079
0xa9087f06fd2e11836193882cd9c3bc9b5c8453e3,2111.729679434
0x05df1b811133f90ab1112203d561e908061eda04,2089.842204515
0xce31aebc49f1604892d7c4aa7b858c2d765b6aa4,1956.200234836
0xe4b70143ece236abc5644d79d67e2498a9e9a740,1921.755786117
0xd89060fab2714efba71881b9b9ca08878e8e5389,1827.409652232
0x9d8cfe3a713b8a637a78ce017dfb90e6665ccef2,1824.745670972
0xb2bc05a1c1344a5344796a9282cafddcd2cfc67a,1813.050658109
0x51a2830b4b32f18e2197cf301a39794ef4270430,1807.326373703
0x8cd1db8064e7f6a00dae18c9c3ee588d44c222b0,1784.543394963
0x347c6038883eed1816cb73672f95500a5934b621,1783.709525208
0xc09399b3a86bbdf4ff1650dabb1f3a2bb1c557b7,1739.381151752
0x3806d4ca41e9d83a26c0fe185d4c30416430d79b,1723.964029314
0xa9f65a8a1829f68607e4223f349545861216543c,1670.405146376
0xbd73cf5baf12f120ee3f6c4ad82df9a12649e578,1598.068272401
0x7f848122152aaa1cfa50eb0e3f97c1af6cb74e99,1549.305758286
0x1df719f2eba06a628042ad86d18c1318b7981845,1548.237991079
0x988209ec5a6bcb209432467f8bf809784b61eaa5,1544.032399421
0xf463bfbf551252ab67df452611eda13e11c56bf8,1488.714246481
0x29ed5dc1c19044aca6cbbc327ad3391ff6d44adb,1468.509116588
0x34e2cb7513a50b19f450a067ed5230a86c13a2e9,1463.09769119
0x6b9b3aed32d37adba2fc5f557c1831193c5e6264,1444.802721463
0xfed5a80ad4bc6eea32a54aef78d33ee1daf7fb0b,1417.475066692
0x6c4a157bdda348cd8afc93e425bc4f0aeebd745c,1395.995730254
0x7806e05112f2c9cf1dc1090eb671ebdd6008697a,1387.535384201
0x9c34cafb4bf59c4eccf08807666693eb2f24d65b,1375.452072386
0xca5dfb1c1ac546475e8e472fd309e2746fbd24d0,1315.056955213
0x8a007aa8efba8f6342ff2689b887de567865c611,1306.6952518
0xb8d91e4e954e94338eff479ea2e93a7569a2c1eb,1292.464555384
0x76a9c24786bac3497523ea1be3bb7013408bd921,1268.240738826
0xa8c73ee57c268872b9d2d7a90e5f2e31af8493fb,1233.027326038
0x8528effbe7cdcfc9b6f9bc915c67007a09df42d0,1229.504364311
0x55ca3423bc990f5ac60378c05279585c8512f0fc,1228.710440672
0xd864e297a990689227e0fa7cfa3dca98a26aa4b1,1220.854174637
0x8f2cf6a29daeccd027201806f26a76c590177594,1194.654475031
0xa741e74e0ab16593594c88836da91077f6c79fb2,1193.930161916
0x7a9208a793c538f3c131b06847f7fe1c8854f4d0,1128.856625305
0x4e3bd113e44c1c184663fcbc116b5dea5e03984a,1121.789384382
0x493e9e927724c354ea2b1f53f8750e98e9df3933,1110.109217148
0xed96726bfbcb52a2565b4420a2783e454ba5c11d,1091.843253977
0xbee236c9ff6270fefd959b9c493ed17a01690cdf,1063.190964637
0xe2e49ea895ebcfce6bc4707e3a86be70ac248b1e,1062.86705464
0xa867986123af33b1c2a6dda640b306107f6c0a9b,1033.489383594
0xdc622ebf5b0bd7d6ff79cbfb8b17e15ce912c7ad,1031.575171589
0xfd6aee13b037fe2644dbff826e3642338a205907,1031.525973549
0xcde91c40c0348442344204ab1fdd59d0be49fee7,1018.745750988
0x50c8874c0cb74e3e1e25958ff8b51935d3ee7f2d,1015.711074051
0x8e0181195453bfe30afb3fda513a198cbab663c4,1015.269105594
0x21820090579944c1b9897e36d45d94866942f83f,1003.308714511
0xdd30adaf07bb6a91c767d6396bbcee6755930843,990.048099191
0xa1e42b5d83a3480ec471ad4f9a44bc5cfa11d662,966.433308396
0xf8acfcf57799459ae19ffe85c4d1098d49495bf8,960.406140678
0x4453bae95d9ee2e12d16ae17dc9fadcc4ed8430a,917.192077196
0xf2c46c57af0ca62a84aeeba34e84ef7c768eea0c,913.545865451
0x9533fe0c4ee9176b3ac4e12f3d768b34e2e5dca5,897.552777224
0xd0ed076d1bf060b53d7374b364684cf41c5e2889,896.081590995
0xf08687f8998d9dd8b5f109201476ee5d5cb23627,895.796019065
0x6339a837e29adeac7b93a4c920ea65beb3de64ba,881.877858567
0x84cea8aafeb1ef260d28bce21638b1003850bc1b,863.825972619
0xe61a3a6bac7570c6b84ceb259d2c0d842b767589,852.147262169
0x475a3e166e51906287eb75c97ab3c4d97b37da64,839.582609186
0x6242ddcd2299c6e9d2d42e3f2fa3b878048b26b8,831.594697076
0x1cd3292a62bd1e46155870541f444a9adf3d8149,822.637056308
0xc1656b1922afef92ab07d8b12801b93156de3c24,811.05117756
0x9c63152ffa62c80bf62ccd52642231fe5b3bda4a,810.237194285
0xfcacfce74973b9bb247b72f0b5747268e52c9052,803.862565207
0x277349b2c0a6582bfae9e564b456d4cce8d76db8,802.149216855
0x6af3a9d27e58c915b87141eee399f715075d2fe7,768.949336123
0x1028eab99530303f0b2e054962d75a5986413fe2,760.437024604
0x7ef47c6a1377c7c98c9bc536b88bacace45b866e,758.079555991
0xeda5ec4a3e370dd7d643210a551f7a80f047be27,743.722291299
0x5f1a209fd6b2aaf80aaf6e52af011f89725e41fb,736.528283802
0x6389d170df7b8628e7fa8da5ebb335fdfdc19966,731.503098098
0xf09707e0398ec03bfcf3d270e84749308d9f30d1,730.027855756
0x1dcebf0b6a25ac40bbe9021b167a5abe23fb4b86,720.362758628
0x98289029b0d4bb73ead9eb1a3300ed724fcf6779,719.306935868
0x48e5cb5e1fe126804b4700f91f7df567b512785c,718.667063526
0x8c4c0e317b13eb72b258a98f0bc557398e5de083,718.615411008
