Project Name,Ballots,Score,Quorum reached,FIL Allocated,Project URL
Farcaster,15,3.27,TRUE,2735,https://fil-retropgf.io/projects/0xf1b5dadc1508e7fc85f74b0e5ba5c9a328e18e7ad5f88136c0a6b9c273d0350f
FileDrive Labs,8,3.25,TRUE,2721,https://fil-retropgf.io/projects/0xf1b2b8bbe8d2bd2b786f7325378c8ea219750c0f22bd1c86a3074281c2ab80e3
Boost,14,3.21,TRUE,2691,https://fil-retropgf.io/projects/0x0c8d608b5440a069fd453703298ecc126c4f01cf520d45e6f9f167b14a60a257
FIL Dev Summit,13,3.08,TRUE,2576,https://fil-retropgf.io/projects/0x44de810ab1064ae33c97529244fb1e81f46ed9eb8936072b052a9b2ec92dbdd0
Oku Trade,8,3.00,TRUE,2512,https://fil-retropgf.io/projects/0x6ea5475e579085525a029f55373e13a243e69acf4da808a15618ac841e4e84c8
DeFi Leaderboard,7,3.00,TRUE,2512,https://fil-retropgf.io/projects/0x453ba9809d32752f773ec79024f00338c0babb169094cd17f56e33918a37daa4
"Filecoin Developer Experience (FVM, IPC +++)",10,3.00,TRUE,2512,https://fil-retropgf.io/projects/0xdfee4120a71a1f19794db87d6504181ae1092b808e63b5cbb48c83dee02a9ada
Filecoin Station,11,2.91,TRUE,2435,https://fil-retropgf.io/projects/0x2d44c6aa5df5327311e40ec203560b468f44052adc10172bde7e5676f65637b5
ETHGlobal,10,2.90,TRUE,2428,https://fil-retropgf.io/projects/0xce97de14580a1bbcd5593845027e479ec085beb71bf8af447ffcd7f7cf03bfe2
Wayne Tang,10,2.90,TRUE,2428,https://fil-retropgf.io/projects/0x2dffedbb37d66b002fa61950bad1c5c89e58c4c67097a746bd51f2dc0acd3f2f
BlockScience,10,2.90,TRUE,2428,https://fil-retropgf.io/projects/0xe005bfa9d9494de9433a92c1946a7e49fda5bd15bf9bf1b8e44c45caeac88aed
Seal Storage Technology - Community Advocacy,9,2.89,TRUE,2418,https://fil-retropgf.io/projects/0xd10c17c04538f9b76e68939a8159f13219a1787f929b628b2abea0f564373487
quic-go and webtransport-go,8,2.88,TRUE,2407,https://fil-retropgf.io/projects/0x1a159dbe4eab156395dff7c1f71796a84436219374f7245205ea86714405b59c
Sophon,12,2.83,TRUE,2372,https://fil-retropgf.io/projects/0xb5692a80728436bdc0db26d2de1c74db6a125566b1755c830b3ef20ae996b0f8
"ProbeLab: Building tools for P2P layer monitoring, measurements and analytics",11,2.82,TRUE,2359,https://fil-retropgf.io/projects/0x852d9e9aa55c7da54dca72fa4802906c2af39b05eddd6d6711752f80253f6cf1
FRC-0069,5,2.80,TRUE,2344,https://fil-retropgf.io/projects/0x7aaaadd55ef47f1ae96fd3d5bae2b1dfad2dfd2287f633d6382a32fb15dad944
Chainnode,9,2.78,TRUE,2325,https://fil-retropgf.io/projects/0xb6cd5a5c89fbd23970a24d39d997d00e5254bb6f4039d4cd4bd5d18d754d7890
RIBS,15,2.73,TRUE,2288,https://fil-retropgf.io/projects/0x13c7c5908bfe2eff8601665febcf48d41f3d471a1caa2ca2dd78e5a1083ae0ba
Public Good Crypto (was CryptoNet),7,2.71,TRUE,2272,https://fil-retropgf.io/projects/0xbfbd7090e9ef6e6cc74c75c1c92fde331899f1d8ec2015285e878e14d40db941
Forest,10,2.70,TRUE,2260,https://fil-retropgf.io/projects/0xf092ff4b7235a2fc30d398e434760caed0f0323acb70ad947f04568add91747e
Interplanetary Network Indexers,13,2.69,TRUE,2254,https://fil-retropgf.io/projects/0x06c3f5f9f155e3ed057d6e2459692c2f1482547613aab130edb8a6f136367db9
Filecoin Upgrade Coordinators,12,2.67,TRUE,2232,https://fil-retropgf.io/projects/0x48a43552ebdda03f12ef5eb765af41c692ef68892c91cab62bf866588e1c642e
Damocles,11,2.64,TRUE,2207,https://fil-retropgf.io/projects/0xc83b626dc947832889b19879042a25b234a10835b1ab18073a9682e81a711962
Network Health Dashboard,8,2.63,TRUE,2198,https://fil-retropgf.io/projects/0x36bc90afcc938cbb76cc781bc1a53c50dd99612c6630be0e9e5374f4f3605ad2
Filswan Platform,10,2.60,TRUE,2177,https://fil-retropgf.io/projects/0x6809bf9d16f69ac274462c66dffca57e95cb1a01f1ff299ac4ac73cee064a81e
Banyan Storage,16,2.50,TRUE,2093,https://fil-retropgf.io/projects/0xbad5b1ef0e513116a9f4da037fa3b5c9b8e35e744d9de8a45714c0caf205f0b8
IPFS (Interplanetary FileSystem) and IPLD,8,2.50,TRUE,2093,https://fil-retropgf.io/projects/0xb5b09424008711ce3af4a8bbd86010715d73998de6e20fd84d592dd36b2ad0d1
sectors_penalty tool,10,2.50,TRUE,2093,https://fil-retropgf.io/projects/0xd6482a64a35ef956648af99b56e9f9c208e943135ec88faf5c2fa6f3a4fc753c
FVM Explorer,12,2.33,TRUE,1953,https://fil-retropgf.io/projects/0x51bb451c7b53e50caa82b81078b2f0a6e085dbde8df1d9cc706ac03139c37ee2
Droplet,12,2.33,TRUE,1953,https://fil-retropgf.io/projects/0xf9fd0f85ed1a234d9c6e784d03b134171f67988ce61fa8ca749186aa83d98cbb
FileMarket,10,2.30,TRUE,1925,https://fil-retropgf.io/projects/0xceb238d2abdfe413a919b6aefefed19b605ce604a2580d4d858608f836ffb67b
Funding the Commons,11,2.27,TRUE,1903,https://fil-retropgf.io/projects/0x0199caad853c76c63bb74ce99e7b40a3bc61822270cab811f9801e6f0f8e1917
南山居士Hill,8,2.25,TRUE,1884,https://fil-retropgf.io/projects/0x1995fc8da5b940c5e75cce7d7a8626c6bd3ad5175efc27d19899187caed8d67b
Spade Client,8,2.25,TRUE,1884,https://fil-retropgf.io/projects/0x2505a2126b7b69a2777a04e0db8a3724a234a75f47aa4bdd68a12c0b41644d51
Eastore,12,2.25,TRUE,1884,https://fil-retropgf.io/projects/0x0d4b487bf2933dae9946be2c5aa7d0a715d62ab3d4904c77bca5270f160f65ba
Future PoRep Research,8,2.25,TRUE,1884,https://fil-retropgf.io/projects/0xae3a3c2ec667aefc7891723b01bdfb46da5a24361675b645f55958e1eebc0317
Data Horizon,8,2.25,TRUE,1884,https://fil-retropgf.io/projects/0xf0419565c10ad5c378304cc153e19f64c4c75a0d5254300c2f6419f7e612aadf
FiveToken + venus-wallet,9,2.22,TRUE,1860,https://fil-retropgf.io/projects/0xb8c5cc1484583c325d25e63719a031aff25bf77e4a502bdd033a3434ce646f71
Filecoin Data Portal,12,2.17,TRUE,1814,https://fil-retropgf.io/projects/0xdb739ebb63ae3cc9a7ba219025fe25f388666f396aff1c684c64d42724ac3dd9
Protocol Research & Development (FIP0021 & FIP0029),7,2.14,TRUE,1794,https://fil-retropgf.io/projects/0xc3f44a872c3ff9b2268810097d10d1825fe484044bbe80bede989bf74451a914
go-fil-dataprep,10,2.10,TRUE,1758,https://fil-retropgf.io/projects/0xfb72d11296f5dc58040b85b7a1656119474ec6caadf16a40fb123933b29bc863
NFT.Storage,12,2.08,TRUE,1744,https://fil-retropgf.io/projects/0x951b19d508e315c128080a220b0d284ff384d7c5e81ce99ef0853a0fe921d665
New Web Group,11,2.00,TRUE,1674,https://fil-retropgf.io/projects/0x88819231303c0c54f11ae6f13d46354baac746ebcb5e4f756be0a705fcabb515
Titan Network,8,2.00,TRUE,1674,https://fil-retropgf.io/projects/0x0348519ca7208232e607f1c14048159e58e575c5e11adcb01593eb6ffdfe40d7
Filecoin Africa; Empowering Africa with Decentralized Storage,9,1.89,TRUE,1581,https://fil-retropgf.io/projects/0x8cd3f9a9cea2ffffe1376cdd70b133d4d912140762f320dcfbcbe9ed5ab19a08
Practical PoRep Improvements,6,1.83,TRUE,1535,https://fil-retropgf.io/projects/0xb2971cdfbf8658c173f60317ed6e92e562478d762f3f7e7eaf07d541d2c54fad
filexp,9,1.78,TRUE,1488,https://fil-retropgf.io/projects/0x9f9552d2541dcc3ba3bcf6d4cc087c519bb345f6441f7fc166f085e71283e2f4
Power Voting,8,1.75,TRUE,1465,https://fil-retropgf.io/projects/0xffe3621a6e8e2539b08b98e1a21c44753b088ac158fc544b6688fac0708b6cd8
Spacescope,8,1.75,TRUE,1465,https://fil-retropgf.io/projects/0x96bc8ee8b55e88b70a78a97ffbb2980fc63e9f0880ed5042ea10af5350263118
Energy Validation Process & Green Scores Methodology,8,1.63,TRUE,1360,https://fil-retropgf.io/projects/0xd45faee9e5d601e72148a87cc44ed61ea37db87ae19970d78f0ab0d78d752dfd
EC Finality Calculator,7,1.57,TRUE,1316,https://fil-retropgf.io/projects/0x4b20ec1c603f59810e43986da1965467a8a85beb422bd77c424ab172110c8cca
Spark Protocol,7,1.57,TRUE,1316,https://fil-retropgf.io/projects/0x9449f0d41d6f8943f49940a82ee23bfc13ddf560b722487e4f4723843f6eb445
Team TSE,8,1.50,TRUE,1256,https://fil-retropgf.io/projects/0xd8ba4aa66fdfd245a373722b08c4def1456c59354847cfb9dfb0dc1cd8b45c29
OpenGate,8,1.50,TRUE,1256,https://fil-retropgf.io/projects/0x2603fd107490ccf9c47944635e92f981c416c420233f5df364ffe3e7193da4bc
Storage-proofs-porep Mempool Optimization,6,1.50,TRUE,1256,https://fil-retropgf.io/projects/0x32a8e4529f0f3cdb879018695c3951b3d5b43e33ae24890261b463580dc4b73f
Filecoin Name Service (DomainFNS),7,1.43,TRUE,1196,https://fil-retropgf.io/projects/0x2e854caa2ee7c1d255a13d1dd6793804f8cf3bbe8b34ba4514e2248966616730
Portrait,7,1.43,TRUE,1196,https://fil-retropgf.io/projects/0x90d86d43d785684b45690894cb2ff4c73b027f4e0578d765bd4cbdb4347299d8
Titan Storage,7,1.29,TRUE,1076,https://fil-retropgf.io/projects/0xc24a4f1f7f32fe5b4cfab7ea139a84da77fdb6b8c2e1473a93e75a26556eed42
Verifiable Data Aggregation,7,1.29,TRUE,1076,https://fil-retropgf.io/projects/0xc896ea2ed908822f5f9c2f3e4966d360093b644dd30f98e3e0cbd9dd94d7bb23
區塊勢 (Blocktrend),6,1.17,TRUE,977,https://fil-retropgf.io/projects/0xc989fffdc49afe91eac808050a05b085892d9a99898220d34d26fb5994b9afa3
EngRes the Gathering & Filecoin Ecosystem Roundup,7,1.14,TRUE,957,https://fil-retropgf.io/projects/0x932043643c5a967fd2521dff46f6e77263c28ba694a665650306c26b8f2e38f4
StorSwift,7,1.00,TRUE,837,https://fil-retropgf.io/projects/0xf154dc86de73af49f110d659fe2b309059ac345f9349aa61937cf1706712f671
Filecoin Green Energy Dashboard,7,1.00,TRUE,837,https://fil-retropgf.io/projects/0xa8a3bd29a45df7a9fab951741a3d9831f8d690128bd0b58b72093c6745db599e
Green Dashboard,6,1.00,TRUE,837,https://fil-retropgf.io/projects/0x7f16baad8422a9c8188c4e2bc7daca6e79bf7ce4989d3271cc87454a0297399f
Definomics Labs,5,1.00,TRUE,837,https://fil-retropgf.io/projects/0x1dd6978a797fd868b6a82273883281fcd99872053819ea0c06b5f9795334a79f
Optimistic Provide,6,0.83,TRUE,698,https://fil-retropgf.io/projects/0xa502098a066a160f4c8b352a39093a75e8088574c4a3960dd00a8d915f6ca77b
The Scientific Coordination Infrastructure and Operating Systems Collaborative (SciOS),5,0.80,TRUE,670,https://fil-retropgf.io/projects/0x67f696285dce01b97c870caf6cbe9ad67a21e58b0882fc23c24452663ba39279
MetaArk-sdk,5,0.80,TRUE,670,https://fil-retropgf.io/projects/0x9bd032a66cd082ddf317145f72b6a0c05b559a78e6c5f78c41a35c2fd5628b7d
JiaoZiFS (JZFS),5,0.80,TRUE,670,https://fil-retropgf.io/projects/0x9d02b56350b6406ca520051ffce52533831ff080d3a479be056ed85978450fb9
Pando,5,0.80,TRUE,670,https://fil-retropgf.io/projects/0xacd66876c0aeb6d467f679d267dc27a7ac679f869da7a99dffe079ecefdcc0e7
B<>rder/ess Developers Programme,8,0.75,TRUE,628,https://fil-retropgf.io/projects/0x8168c0368b1d4e32fec90360b0ae151530e134ee715bdeb089465cc1b7b63eb5
Filscriptions,8,0.75,TRUE,628,https://fil-retropgf.io/projects/0xb08d3a0055e122d2d660270b465dc1c2cfd091bf48fa3eca15944731d6df72ed
FILMemes.nft on twitter,6,0.67,TRUE,558,https://fil-retropgf.io/projects/0x60711569038e1b1be45503a71f2f3e29be6ada4c3f894a5f24b9f6cc178ec0e9
Web3bridge,6,0.67,TRUE,558,https://fil-retropgf.io/projects/0xed9b91d8a490a97d1e12fac7e9600bec02fb8941aa834b69a625b00e1b7a9358
GuideToFilecoin,6,0.67,TRUE,558,https://fil-retropgf.io/projects/0x691609e0852e40b776a238df0833a458f9eb4357fa94376382845d856107ae90
Dataswap,9,0.56,TRUE,465,https://fil-retropgf.io/projects/0xde7c3c8c5395cbc1156f3f9516ebf7ae3c1b341c7f75ea1e1c5bd8d89af22770
go-ipld-prolly-trees,6,0.50,TRUE,419,https://fil-retropgf.io/projects/0xd6dde0b2ada20035ac755f017d90c57d13dc3aa6f7dea8a6022c08e0ef02635c
Chain Base Tools,5,0.40,TRUE,335,https://fil-retropgf.io/projects/0x6aa947459da0486a7e75a487dae3aa3fca563eb4c6f194fd469a2c637fd91734
ipld-prolly-indexer,5,0.40,TRUE,335,https://fil-retropgf.io/projects/0x3c2dd3048730465d9219a0decfb5b3e05abda34c5aaeb3a1f2a2a9be1fa40431
Fileverse HeartBit SDK,7,0.29,TRUE,239,https://fil-retropgf.io/projects/0xcb28c084834ace413c927980904032c0ef3a2d97338a27323f233e4fac8ff5d6
AuralGenius,7,0.00,TRUE,0,https://fil-retropgf.io/projects/0x01190adcf707f7b31580d2f600aac61569e4fef1b256da055c1cb650108f1bdf
"Women Biz: Bootcamp ""Women in Web3""",3,0.00,FALSE,0,https://fil-retropgf.io/projects/0xf22180101e2de2a49f49e638889e8ab2a2e56275ca4187169cca9e69cb3a07fb
Zengo: Decentralized Budget,4,0.00,FALSE,0,https://fil-retropgf.io/projects/0x443dcf92e2a8f4b09006ef98ffe28375e67012d53a836c587e26c2492ef5d899
LagrangeDao,4,0.00,FALSE,0,https://fil-retropgf.io/projects/0x307859b0150f64ec1f631b4fce36fe2112c0bdadc9597f8a06628336aff39b9e
Momentswap,3,0.00,FALSE,0,https://fil-retropgf.io/projects/0x4955aed0f3ca236f9d8237a3402b1ce093d8fd5a2350983bad8efaf56a34389c
Mount Protocol,4,0.00,FALSE,0,https://fil-retropgf.io/projects/0xa5fe2de856b91b83552ea6fcfbfc776fc12e2bc984d53be0b4d13f97597ebfe3
Multichain.storage,4,0.00,FALSE,0,https://fil-retropgf.io/projects/0x6823dcbb2af114256b7f56071c8239f863284ebc58cff0bb4aff10ee8223ff39
