Project Name,Ballots,Score,Quorum reached,FIL Allocated,Project URL
Glif Nodes & RPC API service,14,5.21,TRUE,4365,https://fil-retropgf.io/projects/0x005bcf117de0884513333371a7061d3cc87ea946c4b8507063a0fb8c26879b63
Lotus Dependencies,13,5.15,TRUE,4315,https://fil-retropgf.io/projects/0x20b54ce1a1048d2670c4b1d6d7d80a30a8c5cec7b29f178b1e155ca0b0ac6c29
"drand: distributed, verifiable randomness ",19,5.00,TRUE,4186,https://fil-retropgf.io/projects/0x3058eb34788aeec3a817d436969d13a9963314f4c9d201e766cbd84a126e8935
Lighthouse.Storage,15,4.80,TRUE,4018,https://fil-retropgf.io/projects/0x9096256fd623d4e342e1a9347362a2f81317d7b22bee687556bc69bba2edccb6
Filecoin Orbit Ambassadors,15,4.53,TRUE,3795,https://fil-retropgf.io/projects/0xcf273ad1694f5a048520eda198b59b250b421ef3649b7153d9196ab9cc13d80d
Beryx,16,4.44,TRUE,3715,https://fil-retropgf.io/projects/0xf9b123ffd4b691b96b8962a81bcbb687deccd2442b3e7a5a09413ad0dadc19d5
Filecoin Proofs,16,4.44,TRUE,3715,https://fil-retropgf.io/projects/0x40bf2a32e5abce2f001fee83bfe271e0e9f73601e27f36ccd369017cc255df02
IPFSNEWS.CN,8,4.38,TRUE,3663,https://fil-retropgf.io/projects/0x7bb1a190a4c05d9fdfe4db7bbb1a39d12672b0c742f822d26d94d5cdbdc9c565
Lotus,13,4.31,TRUE,3606,https://fil-retropgf.io/projects/0xc590cfbdc339cf864e3eec0adb9ac3700f9b26f0e98cc8a24a4cae5f78ea849d
GLIF,12,4.25,TRUE,3558,https://fil-retropgf.io/projects/0x9ae063ee72f5fa1f06e081f8ee50a606998ecd1fc95aef62803bdbf470096dad
Asia SPWG,16,4.25,TRUE,3558,https://fil-retropgf.io/projects/0xf9f22dc2367a0a06b984f9dd6289f3b9e5b1e91c1da1c7ef14f8165f759fc11a
IPFS Public Utilities & Gateways,12,4.17,TRUE,3488,https://fil-retropgf.io/projects/0x696853234692ff7d86c93e7d3f5d2c0a287b53fecc457f9fe170796935088b17
The FIP Editors,9,4.11,TRUE,3442,https://fil-retropgf.io/projects/0x173ad12dc7dde47816b620ac33b910e8be0619e2120d931e414bee91503a7ce8
Forest Snapshot & Archival Data Service,12,3.92,TRUE,3279,https://fil-retropgf.io/projects/0xf0df62ab2411fb31acb45e1729346afed4e16490d1b9f3779972f575d3c74497
go-libp2p,8,3.88,TRUE,3244,https://fil-retropgf.io/projects/0xe8defb750c7825389f439928f88af4bc03969d218f5c38edf4821612c90e3b84
FILLiquid,7,3.86,TRUE,3229,https://fil-retropgf.io/projects/0x21126ef11678ce36c9019e3c12fbaa37607d631ac6bfa33ef5519b6d21587b7f
FVM,15,3.67,TRUE,3070,https://fil-retropgf.io/projects/0x12642b13555991f028115ca6833a4aa924eb147bc45fea97c9125bbb207f12f3
Open Impact Foundation,10,3.50,TRUE,2930,https://fil-retropgf.io/projects/0x2d595442b205c1b35eb28642b2db6f5e838112f2e63c92024dd4e9601845b269
UCAN Working Group,9,3.44,TRUE,2884,https://fil-retropgf.io/projects/0xd1f19ff15b1034f7272f8c593a7a9e8cbb80d387247bda443f4da87c3f751c04
