date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-velodrome_v3_protocol,forecasted_TVL_opchain-velodrome_v3_protocol
2024-09-01 00:00:00,0.43757866832674314,0.3700050687841989,0.045326080115704076,0.0,0.0,3021261.2537628775,246944.29599350708
2024-09-02 00:00:00,0.28144268662774163,0.336674663585041,0.9774844731704264,0.0,0.0,3308476.0322536984,-1006511.7791319257
2024-09-03 00:00:00,0.4317949718886469,0.47190034606364384,0.10983818140932125,0.0,0.0,3086078.978710225,593543.7690057883
2024-09-04 00:00:00,0.5064597644944273,0.23905618796548114,0.047738355317351815,0.0,0.0,2857718.477144444,6089040.998285929
2024-09-05 00:00:00,0.6317920442748521,0.37186255242913135,0.04479936655026163,0.0,0.0,2837857.3676298456,6504453.739232255
2024-09-06 00:00:00,0.6727444451788046,0.5325076259138126,0.039268945752260656,0.0,0.0,2756537.531056657,5791920.523687943
2024-09-07 00:00:00,0.364377628872239,0.3914283565760929,0.04565905112638826,0.0,0.0,2552638.2701840946,6162998.12499438
2024-09-08 00:00:00,0.3330227324134836,0.37390733949773297,0.1279957087744392,0.0,0.0,2639258.5987127414,5556833.496066982
2024-09-09 00:00:00,0.29814271665437486,0.39027948376247606,0.0713294105525577,0.0,0.0,2551909.5299513256,5679208.756515791
2024-09-10 00:00:00,0.597647360268369,0.19700411670034515,0.11702308336658376,0.0,0.0,2233233.18015319,6706912.478932029
2024-09-11 00:00:00,0.419636170538776,0.4730605024345649,0.07419333102983165,0.0,0.0,2388935.0370421596,6586952.0872321315
2024-09-12 00:00:00,0.5196917073086355,0.3999303241980851,0.12990293467388564,0.0,0.0,2376444.3532680096,6070267.359122525
2024-09-13 00:00:00,0.3037195499327727,0.38553314397015664,0.026425681765866786,0.0,0.0,2143700.333891839,6805942.234139594
2024-09-14 00:00:00,0.29659262877738346,0.27795202355465937,0.03544487560775478,0.0,0.0,2323127.7612008345,6428790.6518448675
2024-09-15 00:00:00,0.2796635647864504,0.4280540747651664,0.03455838695610367,0.0,0.0,2126032.827260699,6721536.885025559
2024-09-16 00:00:00,0.6156958578040607,0.6391243344380666,0.08389235172594782,0.0,0.0,2230954.441567661,6793872.794047191
2024-09-17 00:00:00,0.3688900761131201,0.35869905237599725,0.07866468126900401,0.0,0.0,1953101.8008605612,6419283.898370537
2024-09-18 00:00:00,0.555197704733028,0.451887319514467,0.10202861354796966,0.0,0.0,2028412.457794828,6334882.173479634
2024-09-19 00:00:00,0.44118808105017054,0.28011025105508425,0.05964890634695858,0.0,0.0,2155875.1126439134,6856630.855347316
2024-09-20 00:00:00,0.33009469602379243,0.5006890460701774,0.06315776666371821,0.0,0.0,1934978.4378058694,7630769.84148585
2024-09-21 00:00:00,0.44346511737180444,0.33180688317076795,0.054432824109916046,0.0,0.0,1990322.3844538138,8051902.230901272
2024-09-22 00:00:00,0.5203851075892112,0.3326077386786151,0.04922300145477397,0.0,0.0,2111060.0431702505,7476027.538226578
2024-09-23 00:00:00,0.5513877105237593,0.3094620811406345,0.050989611632147464,0.0,0.0,1681958.530078203,7215427.751043922
2024-09-24 00:00:00,0.32037200802705473,0.03540071355823964,0.038684664649478624,0.0,0.0,1939040.2223651938,7931522.010363782
2024-09-25 00:00:00,0.24846401112347816,0.2607056529777483,0.06521212950065486,0.0,0.0,1875174.3062060254,7530552.5784527995
2024-09-26 00:00:00,0.6035545362610777,0.3284995958815291,0.062246869352496535,0.0,0.0,2051196.275890267,7318258.148526328
2024-09-27 00:00:00,0.2988725546024325,0.3913991224522232,0.09507843184912441,0.0,0.0,2004709.3460078838,7789061.157181474
2024-09-28 00:00:00,0.22069052898592562,0.3123364323674534,0.054000810073214695,0.0,0.0,2055138.663324625,7606204.89271463
2024-09-29 00:00:00,0.4616705451076159,0.39867367634802375,0.06459191607293154,0.0,0.0,1954354.3603698947,7693539.174178039
2024-09-30 00:00:00,0.303335724226157,0.4683907066795467,0.055277090503323384,0.0,0.0,1881461.1608586498,8456614.121117212
2024-10-01 00:00:00,0.5328625874033349,0.21999653229369287,0.10072438780134288,0.0,0.0,1797027.1540208198,7135329.964493617
2024-10-02 00:00:00,0.42457588699645255,0.4071622170977431,0.06920894261108107,0.0,0.0,1824605.731878831,7238177.157925625
2024-10-03 00:00:00,0.3291721684152619,0.3969296698943722,0.10246920544073901,0.0,0.0,1799641.2892468984,6816393.799416586
2024-10-04 00:00:00,0.20154116362332422,0.2326708027488254,0.08769561619815663,0.0,0.0,1845995.8262041651,6739652.4545733435
2024-10-05 00:00:00,0.4069223591289487,0.27766422959546766,0.073412646172755,0.0,0.0,1857695.7244417435,6529050.647383119
2024-10-06 00:00:00,0.43234458566579803,0.40162125801063037,0.08069526670419454,0.0,0.0,1659129.122062283,6775080.945781773
2024-10-07 00:00:00,0.2780535369418413,0.43045552406876836,0.05383873730924935,0.0,0.0,1628519.1983304408,6610784.1808158
2024-10-08 00:00:00,0.20390380571279704,0.2551622962444719,0.06724507067299092,0.0,0.0,1576373.4505800165,7584836.343614818
2024-10-09 00:00:00,0.20564752152477303,0.27665865187479965,0.07144001932076852,0.0,0.0,1499144.0634942425,7077653.612152372
2024-10-10 00:00:00,0.48129110706153816,0.45288426558151246,0.05641529862866339,0.0,0.0,1470877.6428651002,7409146.953564382
2024-10-11 00:00:00,0.3226206805108276,0.48986246232081304,0.034513272438508415,0.0,0.0,1467595.8304104586,6498681.457977561
